"longitude","latitude","id_cells","period","sampling_effort","periods"
-92.0471199,42.6391512,1470,"past",2,1
-91.9636914,41.0076114,1341,"past",9,1
-91.8590602,41.1472398,1341,"past",43,1
-91.8109604,31.6321148,525,"past",14,1
-91.505867,41.503468,1385,"present",1,2
-91.4345978,40.359211,1299,"past",34,1
-91.3584816,39.7083789,1213,"past",11,1
-91.314535,40.6297634,1299,"past",14,1
-91.229,31.9891697,569,"past",1,1
-91.048721,40.709389,1300,"present",2,2
-91.0432051,41.424473,1386,"past",11,1
-91.0432,41.4245,1386,"past",33,1
-90.9501,40.23,1300,"past",71,1
-90.79514,41.44202,1386,"present",2,2
-90.7638,41.387,1386,"past",1,1
-90.763753,41.3869765,1386,"past",5,1
-90.6677347,42.506348,1472,"past",2,1
-90.498421,38.762318,1172,"present",4,2
-90.48497,42.7338099999999,1515,"present",2,2
-90.40242,41.5567739999999,1387,"present",2,2
-90.347107,38.654652,1129,"present",4,2
-90.320282,38.656681,1129,"present",1,2
-90.305168,38.699291,1129,"present",1,2
-90.304901,38.699406,1129,"present",1,2
-90.258934,38.613323,1129,"present",9,2
-90.1406643,39.0397688,1172,"past",25,1
-89.944405,38.804558,1173,"present",5,2
-89.733604,43.4300799999999,1559,"present",1,2
-89.724,39.9609,1259,"past",2,1
-89.7239944,39.9608826,1259,"past",35,1
-89.6407,40.5675,1302,"past",15,1
-89.589,40.6936,1345,"past",8,1
-89.5188246,34.3659868,787,"past",2,1
-89.51687,40.89129,1345,"present",2,2
-89.444275,39.742039,1259,"present",1,2
-89.432106,43.069355,1517,"present",2,2
-89.42589,41.8717,1431,"present",3,2
-89.41909,40.704418,1345,"present",1,2
-89.418594,43.060757,1517,"present",2,2
-89.4007501,43.0721661,1517,"past",2,1
-89.390518,43.1353570000001,1560,"present",2,2
-89.37944,42.36227,1474,"present",6,2
-89.376808,43.128082,1560,"present",1,2
-89.33233,42.85313,1517,"present",21,2
-89.28454,43.34434,1560,"present",11,2
-89.2412,42.2661,1474,"past",7,1
-89.1705998,32.0810429,573,"past",14,1
-89.1231,40.2389,1303,"past",13,1
-89.053299,42.353607,1474,"present",1,2
-88.958,39.87689,1260,"present",1,2
-88.939835,40.49676,1303,"present",2,2
-88.90964,40.36644,1303,"present",2,2
-88.8788344,33.4257231,702,"past",1,1
-88.81089,41.34596,1389,"present",5,2
-88.793625,40.328484,1303,"present",2,2
-88.787453,33.455647,702,"present",1,2
-88.76048,41.836,1432,"present",7,2
-88.70937,42.3263,1475,"present",8,2
-88.705278,41.5633,1389,"past",9,1
-88.705278,41.563333,1389,"past",1,1
-88.65752,42.81688,1518,"present",8,2
-88.6326,42.1914,1475,"past",6,1
-88.6084,42.2486,1475,"past",20,1
-88.523857,44.042103,1604,"present",2,2
-88.503304,42.011166,1432,"present",15,2
-88.5033,42.011166,1432,"present",2,2
-88.49748,44.29083,1647,"present",3,2
-88.4272627,33.4956744,703,"past",12,1
-88.41171,44.261673,1647,"present",1,2
-88.40762,42.168606,1475,"present",1,2
-88.398506,42.162609,1475,"present",2,2
-88.3970689,44.2876255,1647,"past",1,1
-88.378372,42.187634,1476,"present",1,2
-88.373291,43.303638,1561,"present",1,2
-88.35968,42.162563,1476,"present",1,2
-88.3126,41.85,1433,"past",1,1
-88.3125738,41.8500284,1433,"past",11,1
-88.31176,41.89381,1433,"present",1,2
-88.255875,41.723499,1433,"present",9,2
-88.19743,41.9757960000001,1433,"present",2,2
-88.157272,41.695396,1433,"present",3,2
-88.148657,42.7903632,1519,"past",1,1
-88.09579,41.79688,1433,"present",33,2
-88.083588,41.746822,1433,"present",2,2
-88.077599,43.138775,1562,"present",1,2
-88.070885,41.814449,1433,"present",2,2
-88.0701,41.814323,1433,"present",1,2
-88.070099,41.814323,1433,"present",8,2
-88.06882,41.813972,1433,"present",1,2
-88.068817,41.813972,1433,"present",6,2
-88.059639,41.872128,1433,"present",2,2
-88.053925,42.183475,1476,"present",2,2
-88.051514,35.040047,832,"past",1,1
-88.050934,41.81856,1433,"present",2,2
-88.050934,41.818562,1433,"present",5,2
-88.050323,41.814045,1433,"present",8,2
-88.04665,41.8523519999999,1433,"present",2,2
-88.024521,41.799072,1433,"present",6,2
-88.02028,42.292313,1476,"present",2,2
-88.0126,42.9614,1519,"past",1,1
-88.0048,38.52088,1133,"past",1,1
-88.0047565,38.5208828,1133,"past",20,1
-87.9842,42.098087,1476,"present",1,2
-87.955826,42.25259,1476,"present",13,2
-87.934349,41.784023,1433,"present",1,2
-87.91812,41.630646,1433,"present",2,2
-87.903984,42.104259,1476,"present",1,2
-87.901588,41.7943730000001,1433,"present",2,2
-87.895683,43.072197,1562,"present",1,2
-87.892998,43.097801,1562,"present",26,2
-87.8875145,32.8406848,661,"past",1,1
-87.8875,32.8407,661,"past",9,1
-87.8697,42.103,1476,"past",9,1
-87.806023,32.542336,618,"present",2,2
-87.80602,32.542336,618,"present",2,2
-87.803902,32.542931,618,"present",5,2
-87.798981,41.869896,1433,"present",5,2
-87.798943,41.871277,1433,"present",1,2
-87.794022,41.892685,1433,"present",4,2
-87.789696,42.148972,1476,"present",2,2
-87.725632,41.696354,1434,"present",1,2
-87.70526,41.95112,1434,"present",2,2
-87.704857,41.912746,1434,"present",1,2
-87.698883,42.081135,1477,"present",1,2
-87.693222,42.04467,1477,"present",2,2
-87.684387,42.052658,1477,"present",2,2
-87.682274,42.008938,1434,"present",2,2
-87.676971,41.952789,1434,"present",2,2
-87.67588,41.9528350000001,1434,"present",4,2
-87.669334,41.978619,1434,"present",2,2
-87.660706,42.000011,1434,"present",2,2
-87.65642,41.99986,1434,"present",1,2
-87.640846,41.938732,1434,"present",1,2
-87.633827,41.939144,1434,"present",1,2
-87.6297982,41.8781136,1434,"past",1,1
-87.616814,41.891636,1434,"present",2,2
-87.5958396,32.7045753,661,"past",48,1
-87.396454,32.950008,662,"present",4,2
-87.3038926,36.8433771,1005,"past",4,1
-87.0342,32.0871,576,"past",2,1
-87.0341526,32.0870889,576,"past",1,1
-86.965279,36.08287,963,"present",2,2
-86.909012,36.07869,963,"present",2,2
-86.87225,35.79736,920,"present",1,2
-86.833,36.080002,963,"present",3,2
-86.828979,33.425034,706,"present",2,2
-86.81299,36.28623,963,"present",20,2
-86.79512,36.130177,963,"present",4,2
-86.781601,36.162663,963,"present",2,2
-86.7816,36.1627,963,"past",1,1
-86.687553,35.977444,920,"present",2,2
-86.686264,33.425774,706,"present",2,2
-86.56555,33.30187,706,"present",6,2
-86.424187,39.910755,1264,"present",8,2
-86.380142,39.627743,1264,"present",5,2
-86.37565,39.70494,1264,"present",27,2
-86.3549774,33.2781686,706,"past",8,1
-86.345215,39.994583,1307,"present",4,2
-86.344681,39.994514,1307,"present",2,2
-86.344513,39.994469,1307,"present",1,2
-86.30977,40.19327,1307,"present",13,2
-86.264549,39.950382,1307,"present",9,2
-86.251427,39.814758,1264,"present",1,2
-86.18768,33.315643,707,"past",30,1
-86.187,33.31564297,707,"past",1,1
-86.182289,39.585384,1264,"present",13,2
-86.175911,39.90163,1264,"present",34,2
-86.165543,39.881878,1264,"present",2,2
-86.161446,39.844189,1264,"present",4,2
-86.161232,39.871071,1264,"present",15,2
-86.1581,39.7684,1264,"past",7,1
-86.156189,39.911125,1264,"present",1,2
-86.118439,39.936066,1307,"present",14,2
-86.093376,39.974331,1307,"present",8,2
-86.0855232,38.031738,1136,"past",32,1
-86.0855,38.0317,1136,"past",1,1
-86.03698,42.14794,1479,"present",8,2
-85.971687,39.626614,1265,"present",4,2
-85.955193,38.595692,1179,"present",7,2
-85.93723,38.1899,1136,"present",20,2
-85.892448,42.176537,1479,"present",2,2
-85.8241312,38.2856247,1136,"past",3,1
-85.801704,38.197929,1136,"present",1,2
-85.7995,38.260456,1136,"present",1,2
-85.77179,38.214298,1136,"present",1,2
-85.7625,38.216927,1136,"present",2,2
-85.762497,38.216927,1136,"present",34,2
-85.762001,38.215855,1136,"present",1,2
-85.761429,38.215794,1136,"present",2,2
-85.758713,38.217335,1136,"present",1,2
-85.758453,38.252666,1136,"present",1,2
-85.73214,39.6536699999999,1265,"present",10,2
-85.71772,35.20838,879,"present",5,2
-85.645737,42.305546,1480,"present",2,2
-85.642654,42.306366,1480,"present",2,2
-85.642632,42.3064189999999,1480,"present",2,2
-85.642555,42.306362,1480,"present",2,2
-85.633087,38.25724,1136,"present",23,2
-85.613754,42.279087,1480,"present",5,2
-85.610085,38.078102,1137,"present",2,2
-85.609924,42.204594,1480,"present",5,2
-85.5817911,42.3679028,1523,"past",1,1
-85.524467,38.192722,1137,"present",5,2
-85.5226152,45.7453562,1780,"past",5,1
-85.374443,35.340179,880,"present",3,2
-85.37119,42.09477,1480,"present",2,2
-85.34357,42.382767,1523,"present",2,2
-85.30728,38.13642,1137,"present",10,2
-85.29594,42.58356,1523,"present",8,2
-85.2672,35.037,880,"past",13,1
-85.1816,34.66533,837,"present",6,2
-85.11244,35.15375,880,"present",19,2
-85.003891,34.775036,837,"present",3,2
-85.00389,34.775036,837,"present",1,2
-84.9738349,34.9011886,880,"past",1,1
-84.890862,39.789318,1266,"present",7,2
-84.731422,39.517929,1267,"present",2,2
-84.58097,34.60792,838,"present",3,2
-84.5458,39.2337,1224,"past",1,1
-84.5457778,39.2336687,1224,"past",28,1
-84.52579,39.05407,1224,"present",30,2
-84.5120196,39.1031182,1224,"past",11,1
-84.512,39.1031,1224,"past",1,1
-84.448,39.54122,1267,"present",18,2
-84.3694,39.6262,1267,"past",3,1
-84.3693882,39.6261682,1267,"past",27,1
-84.36916,40.02841,1310,"present",4,2
-84.35938,36.07138,967,"present",7,2
-84.3426997,33.1023454,710,"past",1,1
-84.28634,35.96397,967,"present",2,2
-84.286339,35.96397,967,"present",19,2
-84.282593,35.96582,967,"present",5,2
-84.28259,35.96582,967,"present",2,2
-84.222099,36.042099,967,"present",2,2
-84.2033,40.0395,1310,"past",2,1
-84.182137,39.644062,1267,"present",1,2
-84.172203,35.879211,967,"present",29,2
-84.151215,39.191589,1225,"present",2,2
-84.12839,42.285683,1525,"present",2,2
-84.128387,42.285683,1525,"present",6,2
-84.12608,41.4905,1439,"present",5,2
-84.089417,42.408268,1525,"present",1,2
-84.04279,41.97818,1482,"present",2,2
-84.0005,40.8723,1396,"past",1,1
-83.965218,35.781132,925,"present",1,2
-83.95833,42.46608,1525,"present",25,2
-83.950249,36.03521,968,"present",18,2
-83.941086,35.633415,925,"present",9,2
-83.937325,35.84922,968,"present",2,2
-83.935112,36.04776,968,"present",2,2
-83.9207392,35.9606384,968,"past",12,1
-83.9207,35.9606,968,"past",1,1
-83.910217,36.013115,968,"present",2,2
-83.889839,35.996983,968,"present",1,2
-83.8895,38.99334,1225,"present",1,2
-83.879494,36.176056,968,"present",1,2
-83.870483,35.94458,968,"present",8,2
-83.870239,35.957142,968,"present",16,2
-83.866669,35.957573,968,"present",12,2
-83.866592,35.957191,968,"present",24,2
-83.866074,35.94849,968,"present",9,2
-83.865341,35.950321,968,"present",12,2
-83.864532,35.95797,968,"present",19,2
-83.8449,38.7456,1225,"past",8,1
-83.82693,35.52261,925,"present",9,2
-83.783287,35.603577,925,"present",3,2
-83.782997,35.603413,925,"present",50,2
-83.77173,42.2835,1525,"present",2,2
-83.771729,42.283279,1525,"present",11,2
-83.771729,42.283501,1525,"present",45,2
-83.74828,36.0098,968,"present",11,2
-83.748,40.5067,1354,"past",3,1
-83.748,40.50672,1354,"past",4,1
-83.7479894,40.506718,1354,"past",62,1
-83.747101,35.688911,925,"present",7,2
-83.7444,38.6412,1182,"past",13,1
-83.744365,38.6411854,1182,"past",8,1
-83.7430378,42.2808256,1525,"past",4,1
-83.743,42.2808,1525,"past",12,1
-83.72437,39.96683,1311,"present",7,2
-83.70118,42.304653,1525,"present",2,2
-83.698807,35.637402,925,"present",24,2
-83.695915,35.642799,925,"present",31,2
-83.695915,35.6428,925,"present",2,2
-83.693382,42.241814,1525,"present",25,2
-83.692863,35.640373,925,"present",11,2
-83.69286,35.640373,925,"present",1,2
-83.69259,35.642117,925,"present",2,2
-83.692589,35.642117,925,"present",21,2
-83.68988,35.644516,925,"present",16,2
-83.689034,35.640625,925,"present",44,2
-83.687721,35.639874,925,"present",61,2
-83.68772,35.639874,925,"present",1,2
-83.687592,42.091091,1482,"present",2,2
-83.6875,43.0125,1568,"past",10,1
-83.6874562,43.0125274,1568,"past",7,1
-83.68743,35.642353,925,"present",2,2
-83.674103,41.665699,1440,"present",2,2
-83.651321,41.374775,1440,"past",2,1
-83.6513,41.3748,1440,"past",6,1
-83.60972,35.69667,925,"present",2,2
-83.609718,35.696671,925,"present",3,2
-83.59095,35.664433,925,"present",32,2
-83.55471,40.94054,1397,"present",3,2
-83.537605,35.686604,925,"present",26,2
-83.50313,35.685448,925,"present",2,2
-83.503128,35.685448,925,"present",20,2
-83.501945,35.690765,925,"present",10,2
-83.50127,35.688396,925,"present",1,2
-83.501266,35.688396,925,"present",6,2
-83.501083,35.688751,925,"present",5,2
-83.50108,35.6887499999999,925,"present",2,2
-83.473297,41.630836,1440,"present",4,2
-83.46812,41.42758,1440,"present",12,2
-83.46592,42.626625,1526,"present",1,2
-83.3674,36.672039,1011,"past",29,1
-83.201,42.88987,1569,"present",8,2
-83.196088,42.2142,1526,"past",9,1
-83.1499239,42.2142064,1526,"past",7,1
-83.1499,42.2142,1526,"past",12,1
-83.094261,42.515854,1526,"present",1,2
-83.020699,42.809578,1569,"present",2,2
-83.013,42.8028,1569,"past",1,1
-82.9762589,33.2757006,755,"past",5,1
-82.90238,40.8747300000001,1398,"present",3,2
-82.507011,41.379745,1441,"present",2,2
-82.3652,40.9653,1399,"past",1,1
-82.3651646,40.9653333,1399,"past",15,1
-82.3454,40.31965,1356,"present",2,2
-82.25128,40.80559,1399,"present",17,2
-82.042366,41.49712,1442,"present",1,2
-82.02809,40.81267,1399,"present",2,2
-82.023102,40.811333,1399,"present",5,2
-81.99501,41.4802669999999,1442,"present",10,2
-81.9818,38.6176,1228,"past",1,1
-81.918243,41.372311,1442,"present",3,2
-81.89284,39.27699,1271,"present",13,2
-81.885353,40.709988,1400,"present",7,2
-81.88535,40.709988,1400,"present",2,2
-81.885284,40.7103390000001,1400,"present",15,2
-81.8682,40.3451,1357,"past",1,1
-81.8681894,40.3450687,1357,"past",14,1
-81.864555,41.437077,1442,"present",6,2
-81.841103,41.317673,1442,"present",1,2
-81.7516708,39.1882896,1271,"past",11,1
-81.7195533,33.5604168,800,"past",7,1
-81.69993,40.2477,1357,"present",4,2
-81.6943605,41.49932,1486,"past",36,1
-81.693153,41.433689,1443,"present",15,2
-81.60149,40.73313,1400,"present",4,2
-81.5591,38.2982,1186,"past",11,1
-81.5017,41.21865,1443,"present",25,2
-81.4764,41.4551,1443,"present",1,2
-81.45635,31.7642400000001,629,"present",3,2
-81.45607,41.632385,1486,"present",1,2
-81.4548436,39.415352,1272,"past",6,1
-81.4548,39.4154,1272,"past",7,1
-81.45312,38.233,1186,"present",2,2
-81.441483,38.557934,1229,"present",6,2
-81.44148,38.557934,1229,"present",1,2
-81.3944,39.0633,1272,"past",1,1
-81.374405,40.814983,1400,"present",1,2
-81.36692,32.25207,672,"present",3,2
-81.352043,41.138271,1443,"present",1,2
-81.182037,34.048958,844,"present",2,2
-81.1637,33.8361,801,"past",6,1
-81.148392,37.991146,1187,"present",2,2
-81.14839,37.991146,1187,"present",2,2
-81.1459,41.0998,1444,"past",1,1
-81.14473,41.480042,1486,"present",3,2
-81.1437098,41.3125552,1444,"past",27,1
-81.1425,41.386944,1443,"past",1,1
-81.124901,34.088436,844,"present",2,2
-81.113472,38.044937,1187,"present",2,2
-81.113167,38.046703,1187,"present",3,2
-81.098984,40.905434,1401,"present",2,2
-81.091203,32.0808989,673,"past",3,1
-81.0699858,41.2385717,1444,"past",1,1
-81.049819,41.7711633,1486,"past",7,1
-81.024376,33.995293,844,"present",2,2
-80.95305,40.65735,1401,"present",6,2
-80.84891,41.14232,1444,"present",12,2
-80.7898089,41.8650534,1487,"past",23,1
-80.7898,41.86505,1487,"past",1,1
-80.7698066,41.7386662,1487,"past",1,1
-80.741478,41.329971,1444,"present",5,2
-80.695976,41.887054,1530,"present",4,2
-80.6770787,39.2367791,1273,"past",2,1
-80.666176,41.037216,1444,"present",1,2
-80.6147954,41.0242258,1444,"past",28,1
-80.6070237,34.2465393,845,"past",4,1
-80.607,34.2465,845,"past",12,1
-80.304787,40.695343,1402,"present",1,2
-80.225128,40.915176,1445,"present",1,2
-80.203178,40.448875,1402,"present",1,2
-80.19757,41.06268,1445,"present",14,2
-80.1514484,41.6414438,1488,"past",22,1
-80.1514,41.6414,1488,"past",1,1
-80.08762,41.54718,1488,"present",6,2
-80.036987,40.316452,1402,"present",3,2
-79.945,40.86433,1445,"present",2,2
-79.887299,40.869499,1446,"present",2,2
-79.886581,40.438656,1403,"present",3,2
-79.792,34.778,889,"past",8,1
-79.7917286,34.7782118,889,"past",2,1
-79.782715,34.928726,932,"present",2,2
-79.77167,40.01216,1360,"present",13,2
-79.7241,40.4138,1403,"present",1,2
-79.718704,40.392078,1403,"present",1,2
-79.703186,40.552586,1403,"present",6,2
-79.6847703,40.6739543,1403,"past",20,1
-79.6665277,40.4250514,1403,"past",11,1
-79.66045,40.49591,1403,"present",28,2
-79.47876,40.283012,1403,"present",5,2
-79.46894,38.47754,1232,"present",1,2
-79.398224,40.286655,1403,"present",4,2
-79.39537,35.97532,1018,"present",16,2
-79.2944964,33.376834,804,"past",1,1
-79.272057,40.160778,1361,"present",3,2
-79.220932,36.109207,1018,"present",8,2
-79.2167,33.346,804,"past",10,1
-79.194099,40.200542,1404,"present",4,2
-79.1525349,40.6214551,1404,"past",12,1
-79.13182,39.9271200000001,1361,"present",11,2
-79.085032,38.3448488,1233,"past",1,1
-79.0780831,40.008411,1361,"past",11,1
-79.0558445,35.9131996,1019,"past",39,1
-79.0558,35.9132,1019,"past",4,1
-79.04455,35.913548,1019,"present",1,2
-79.042107,35.914532,1019,"present",1,2
-79.042,35.914,1019,"present",1,2
-79.042,35.914001,1019,"present",1,2
-79.040497,35.914982,1019,"present",1,2
-79.0290483,38.3577496,1233,"past",11,1
-79.029,38.3577,1233,"past",38,1
-79.023872,35.927807,1019,"present",2,2
-79.019302,35.759575,1019,"present",2,2
-79.0192997,35.7595731,1019,"past",2,1
-79.01648,35.977894,1019,"present",2,2
-79.016479,35.977894,1019,"present",2,2
-79.0164,40.41027,1404,"present",3,2
-79.0087,35.99495,1019,"present",1,2
-79.008698,35.994949,1019,"present",2,2
-79.001747,39.653854,1318,"present",2,2
-78.929802,39.659149,1361,"present",2,2
-78.90001,35.40509,976,"present",2,2
-78.8969785,42.652282,1618,"past",5,1
-78.893616,42.911335,1618,"present",2,2
-78.872963,35.783096,1019,"present",1,2
-78.8692,43.0443599999999,1618,"present",1,2
-78.860298,43.304134,1661,"present",1,2
-78.860214,43.062473,1618,"present",1,2
-78.856316,42.978535,1618,"present",3,2
-78.85627,43.309284,1661,"present",7,2
-78.85348,35.733105,1019,"present",2,2
-78.853477,35.733105,1019,"present",3,2
-78.84387,42.7222399999999,1618,"present",2,2
-78.84343,42.722549,1618,"present",20,2
-78.84284,38.39102,1233,"present",11,2
